"sample_name","run_accession","treatment","context","time_point"
"mix.add_1_pool_L1","ERR7017406","mix.add","invitro",NA
"mix.add_2_pool_L1","ERR7017408","mix.add","invitro",NA
"mix.add_3_pool_L1","ERR7017426","mix.add","invitro",NA
"mix.add_4_pool_L1","ERR7017428","mix.add","invitro",NA
"mix.add_5_pool_L1","ERR7017430","mix.add","invitro",NA
"mix.add_6_pool_L1","ERR7017432","mix.add","invitro",NA
"mix.add_1_pool_L2","ERR7017407","mix.add","invitro",NA
"mix.add_2_pool_L2","ERR7017409","mix.add","invitro",NA
"mix.add_3_pool_L2","ERR7017427","mix.add","invitro",NA
"mix.add_4_pool_L2","ERR7017429","mix.add","invitro",NA
"mix.add_5_pool_L2","ERR7017431","mix.add","invitro",NA
"mix.add_6_pool_L2","ERR7017433","mix.add","invitro",NA
"mix_1_pool_L1","ERR7016190","mix","invitro",NA
"mix_2_pool_L1","ERR7016200","mix","invitro",NA
"mix_3_pool_L1","ERR7017333","mix","invitro",NA
"mix_4_pool_L1","ERR7017386","mix","invitro",NA
"mix_5_pool_L1","ERR7017388","mix","invitro",NA
"mix_6_pool_L1","ERR7017390","mix","invitro",NA
"mix_1_pool_L2","ERR7016195","mix","invitro",NA
"mix_2_pool_L2","ERR7016202","mix","invitro",NA
"mix_3_pool_L2","ERR7017338","mix","invitro",NA
"mix_4_pool_L2","ERR7017387","mix","invitro",NA
"mix_5_pool_L2","ERR7017389","mix","invitro",NA
"mix_6_pool_L2","ERR7017405","mix","invitro",NA
"control_1_pool_L1","ERR7016175","control","invitro",NA
"control_2_pool_L1","ERR7016178","control","invitro",NA
"control_3_pool_L1","ERR7016180","control","invitro",NA
"control_4_pool_L1","ERR7016183","control","invitro",NA
"control_5_pool_L1","ERR7016185","control","invitro",NA
"control_6_pool_L1","ERR7016187","control","invitro",NA
"control_1_pool_L2","ERR7016176","control","invitro",NA
"control_2_pool_L2","ERR7016179","control","invitro",NA
"control_3_pool_L2","ERR7016181","control","invitro",NA
"control_4_pool_L2","ERR7016184","control","invitro",NA
"control_5_pool_L2","ERR7016186","control","invitro",NA
"control_6_pool_L2","ERR7016188","control","invitro",NA
"ancestors_pool_L1","ERR7015694","ancestor","invitro",NA
"ancestors_pool_L2","ERR7016174","ancestor","invitro",NA
"invivo_1_clone","ERR7015413",NA,"invivo",1
"invivo_2_clone","ERR7015414",NA,"invivo",1
"invivo_3_clone","ERR7015415",NA,"invivo",1
"invivo_4_clone","ERR7015416",NA,"invivo",1
"invivo_5_clone","ERR7015417",NA,"invivo",1
"invivo_6_clone","ERR7015418",NA,"invivo",1
"invivo_7_clone","ERR7015419",NA,"invivo",1
"invivo_8_clone","ERR7015420",NA,"invivo",1
"invivo_9_clone","ERR7015421",NA,"invivo",2
"invivo_10_clone","ERR7015412",NA,"invivo",2
